time,open,high,low,close,Bullish Entry,Bearish Entry,CVD
1770919740,6871,6873.5,6870.75,6871.5,0,0,-230108
1770919800,6871.75,6872.5,6868.5,6871.5,0,0,-233303
1770919860,6871.5,6873,6869.5,6873,0,0,-230815
1770919920,6873.25,6873.5,6870.75,6872,0,0,-233157
1770919980,6872.25,6873.75,6871,6871,0,0,-234947
1770920040,6871.25,6872.5,6870.5,6871,0,0,-236466
1770920100,6871,6871.25,6869.5,6870,0,0,-238708
1770920160,6869.75,6871,6867.25,6868.25,0,0,-241584
1770920220,6868.25,6869,6864.5,6864.75,0,0,-244030
1770920280,6864.5,6865.75,6862.25,6865,0,0,-240940
1770920340,6864.75,6867.75,6863.75,6864.25,0,0,-243469
1770920400,6864,6869.5,6864,6868,0,0,-240292
1770920460,6868,6868.25,6866,6866.5,0,0,-242306
1770920520,6866.5,6872.75,6865.75,6872.5,0,0,-240095
1770920580,6872.5,6873,6870.75,6872.75,0,0,-237851
1770920640,6872.75,6875.75,6871.5,6873.75,0,0,-234560
1770920700,6873.5,6874,6869.5,6872,0,0,-237077
1770920760,6872,6875.5,6871.5,6874.75,0,0,-234670
1770920820,6874.5,6875.5,6871,6871.25,0,0,-236874
1770920880,6871,6873.75,6860,6864.25,0,0,-247520
1770920940,6864.25,6870.75,6861.25,6869.5,0,0,-238518
1770921000,6869.75,6870.25,6865.75,6868,0,0,-243912
1770921060,6868,6868.5,6866,6868.5,0,0,-240410
1770921120,6868.75,6870.5,6867.5,6867.75,0,0,-243049
1770921180,6867.75,6873.75,6867.75,6872.5,0,0,-239016
1770921240,6872.75,6873.75,6871.25,6871.5,0,0,-242789
1770921300,6871.75,6875.25,6870,6873.25,0,0,-240003
1770921360,6873.25,6874.75,6871.25,6871.75,0,0,-242422
1770921420,6871.75,6876.25,6871.25,6876,0,0,-239889
1770921480,6876,6880.5,6876,6878.75,0,0,-234803
1770921540,6878.75,6880.5,6876.75,6880.5,0,0,-232577
1770921600,6880.5,6880.75,6876.75,6879,0,0,-235787
1770921660,6879,6882,6878.75,6879.75,0,0,-232858
1770921720,6879.75,6883.5,6879.75,6882.75,0,0,-230157
1770921780,6883,6885.5,6882.25,6883.5,0,0,-226753
1770921840,6883.75,6887.5,6883,6886.5,0,0,-222960
1770921900,6886.75,6886.75,6884.5,6885.75,0,0,-225278
1770921960,6885.5,6887.5,6883.25,6887.5,0,0,-222538
1770922020,6887.25,6887.5,6884.75,6886,0,0,-224869
1770922080,6886.25,6888.75,6885.75,6886.75,0,0,-222480
1770922140,6886.75,6887.25,6883.5,6884,0,0,-225805
1770922200,6884,6884,6881.75,6883.5,0,0,-228657
1770922260,6883.75,6889.25,6883.5,6889.25,0,0,-226150
1770922320,6889.25,6890.5,6887.5,6890.25,0,0,-223458
1770922380,6890,6890.5,6888.25,6889.25,0,0,-225889
1770922440,6889.5,6891.5,6887.25,6888.5,0,0,-228909
1770922500,6888.5,6890.75,6887.5,6890.5,0,0,-226949
1770922560,6890.75,6890.75,6883.75,6885.25,0,0,-231923
1770922620,6885.25,6888,6884.5,6886.75,0,0,-229723
1770922680,6886.75,6888.75,6881,6886.75,0,0,-224241
1770922740,6886.75,6887.25,6884.25,6885,0,0,-226760
1770922800,6885.25,6888.5,6884.75,6888.25,0,0,-222905
1770922860,6888.25,6889.5,6886,6886.5,0,0,-226273
1770922920,6886.5,6888,6885.25,6886.5,0,0,-228716
1770922980,6886.25,6887.5,6884.75,6887.25,0,0,-226735
1770923040,6887.25,6887.5,6881.25,6883,0,0,-229744
1770923100,6882.75,6886.25,6882.5,6885.25,0,0,-227381
1770923160,6885.25,6886.25,6884,6884.75,0,0,-228962
1770923220,6885,6885.5,6883,6883.75,0,0,-230612
1770923280,6883.75,6886.25,6883,6885.75,0,0,-228226
1770923340,6886,6887.5,6882.5,6882.75,0,0,-230321
1770923400,6882.75,6884.5,6881.25,6882.5,0,0,-232291
1770923460,6882.75,6883.25,6874,6876.75,0,0,-237166
1770923520,6876.5,6878.75,6875.25,6875.75,0,0,-239824
1770923580,6876.25,6880,6876,6879.5,0,0,-237099
1770923640,6879.75,6882,6878.25,6879.5,0,0,-239670
1770923700,6879.5,6884,6879.5,6883.5,0,0,-237220
1770923760,6883.75,6884.25,6881.75,6883.5,0,0,-239885
1770923820,6883.5,6887.75,6882.75,6886.75,0,0,-237006
1770923880,6887,6889.25,6887,6888.25,0,0,-234730
1770923940,6888.5,6889.75,6886.25,6888.5,0,0,-232372
1770924000,6888.75,6890.5,6888,6889.5,0,0,-229388
1770924060,6889.5,6891.25,6887.75,6889.5,0,0,-226695
